IG056-P1	  -54.4627    -12.308   -92.8827    53.3776    164.494   -1.87426    8.22237   -15.5403    13.0798    104.406    2.84004   -14.1995    5.77715   -15.4154 -0.0896292    6.72883   -16.0268  -0.379827    2.63489   -3.66172
IG057-P1	 -62.9475   -15.142  -92.0878   51.6472   108.803    9.6349  0.895727   11.3783  -6.01547  -104.316  0.023181  -3.41392  -9.09436   13.8416  -1.32807    3.3096   1.66591  -2.33911   4.96788 -0.509767
IG058-P1	 -41.5536  -25.5955  -73.4282   37.4734   97.1614   15.4771  -1.72173         5   5.91215  -95.2877 -0.478614     4.241  -11.0905   22.1693   2.41215   4.15898   2.98448    14.037  0.558723  -7.03473
IG059-P1	-12.3191 -11.9029  -59.687   28.491   74.655  4.25278 -2.52899  6.29513 -4.74355 -81.1311  1.55577 -11.8048 -9.78123 -1.70675   3.4249 -4.74702 -3.58218  8.68189 -2.90218 -4.37994
IG060-P1	 -40.9638    -10.74  -62.2737   32.9546   75.4115   6.27065  0.485006   3.17261  -3.00678  -58.1902  0.221491  -1.68334     -4.63  -2.21515  0.751856  -4.07302 -0.958367    14.354 -0.165177   3.16999
IG061-P1	 -17.9699   -14.673  -72.4222   42.1111   100.835  -8.14905  -1.12133   4.73387   -6.4209  -88.6008  -5.38697   5.31038   1.99498  -2.48886 -0.358626  -4.64053 -0.775354  -2.21366   2.03177  -5.61868
IG062-P1	 -50.8367  -25.7811   -74.296   33.9966   97.1141  -3.86092   2.30469   8.40846  -5.36974  -99.8378  -3.09193  -3.33372   5.89264   10.8023 -0.507249  -8.19557  -4.45803   4.07126    1.8984  -4.33891
IG063-P1	 -56.7927  -20.0683  -86.0772   39.1319   108.049   4.10809   1.17445   7.10231  -4.90949  -90.7155 -0.788466  -13.4832  -12.2016   -5.8094   2.29157   1.39454  -6.06856   8.07145   3.12259   6.77722
IG064-P1	-15.8077 -7.21685 -80.9259  46.4672  102.843  3.95415 -1.03642  1.73097  2.12325 -97.6497 -2.67015 -3.32485 -2.77025 -9.72724   2.4184  18.6999  -10.928  6.66714  2.10962 -8.77101
IG065-P1	 -52.138 -19.8797 -72.6198  37.5515  82.5018 -19.4586   1.6199  4.38085  -8.4872 -77.7423 -1.05385 -8.48339  4.87717  6.93668  -1.4386  2.55093 -2.98653 -5.42094 -5.50827 -2.54709
IG066-P1	-61.4817 -12.4421 -93.1905  45.9021  109.607  18.0145  1.36712  6.27523 0.135933 -94.6688   1.8213 -1.06088 -3.56868  9.82326  4.40451  3.94311  2.17531  11.9231 -5.51869 -5.00391
IG067-P1	-59.2171 -16.0318 -88.5033  48.8672  111.908  7.47264  1.78234  9.94802 -1.16844 -92.5402  2.56029  4.45686 -7.09199  11.7608 0.391671  11.7492   0.7544  7.64377  2.70489  -11.641
IG068-P1	 -59.403 -22.7819 -75.6639  37.1727  97.8126 -8.38939  1.05862  2.57664 -8.83838 -100.793 -1.74883  1.00423  5.06177 -1.57168 -4.10721 -0.58079  3.16746 -2.82044  6.62413 -4.94302
IG069-P1	-50.1017 -25.5453 -66.0099  31.5449   91.347   6.2394 -1.04028  5.18473 -1.70699 -95.7739  1.77582  2.31656 -11.4259  7.26886  4.14394  10.2168 -3.14271  1.15396 -3.71991  1.72559
IG070-P1	 -32.8302  -17.1162  -64.2998    36.552   95.1411  -6.61041  -4.29444   11.1712  -3.92577  -96.0882  -7.18795   1.33236  0.120751    -4.613  -3.74898   -5.9765    9.5636  -10.0977 -0.806734   2.48573
IG071-P1	 -55.4304  -20.6061  -84.0025   36.2488   83.5005    -17.36   2.76363    4.4108  -11.4622  -100.311  -4.13796  -7.32373  -15.8324   -6.4766   4.42747 -0.677465  -6.52882   16.2191  -2.54258  -5.42967
IG072-P1	  -25.054  -18.2344  -57.8593   30.1117   85.9833  -5.81345   2.88643   1.59966  -5.49475  -66.9129   -1.0711  -11.3893   5.79172  -1.23546  -3.98876  -2.57068   1.65145  -6.28788    8.1981 -0.257592
IG073-P1	 -59.9774  -9.39459  -91.5277   56.1408   96.2016  -10.3729   -1.9943   7.47506  -10.8123  -99.8907 -0.363606     11.09    7.0661  -2.10881  0.322599   -9.2941  0.581568  -1.05386   10.2071 -0.126475
IG074-P1	 -60.1678  -27.1615  -86.4616   43.1167   84.2356  -5.81632  0.262962  -0.12314  -13.4232  -78.6536   -4.6146  -36.2224  -13.6288  -12.0576 -0.361035  -1.49792  -17.7271  -1.77955   18.2804   -7.7419
IG075-P1	 -57.351 -35.5353 -82.1578  37.9615  93.9418 -26.4566 -2.21824 -6.18448 -21.5172   -67.43  1.75029 -23.8525 -14.3525   5.1263  1.35849 -5.61136 -15.6768  -8.7188  7.02016 -3.13076
IG076-P1	-46.6392 -11.9318 -93.1464  52.0737  99.0932 -8.34035  4.21459  3.78192 -4.20926 -70.6446 -2.94413  6.88282 -10.3994 -11.0425 -1.73818 -13.6219   -6.999  3.18611  7.19052 -5.79411
IG077-P1	-29.3369 0.951171 -81.9129     53.6  101.745  18.8207  2.71293  2.51408   8.4671 -96.9387  2.60798  1.83778 -8.43542  27.8448  4.60341  3.13195  2.04308  3.57481 -6.14346  3.60535
IG078-P1	  -20.0087   -14.3566   -69.3663    38.2859    96.5203    7.78654    1.49664    8.26459    1.76792   -91.8692  -0.918378     3.7719   -6.20262   -4.38621    2.71365    3.20464 -0.0100196    3.60526    1.31762   0.565996
IG080-P1	 -14.5004  -7.93365  -81.0499   45.5953   104.431   8.66054  -5.20019   1.95093   7.33602  -91.3795  -0.16502  -4.99672  -12.5176  -20.0107 -0.976403   5.57736  -2.07339  -11.2861   13.4889   1.96643
IG081-P2	  18.1747  -6.89009  -60.4644   30.8664   100.237  -6.96193  -3.72228 -0.648263  -3.50392  -79.0547  -1.00714  -5.92727   6.60617   17.0037   11.0765  -5.49988   -12.806   4.81496   11.0004   3.25338
IG082-P1	  -30.444  -23.0913  -76.6782   39.1481   100.491  -15.0578   2.67382   8.28399   -12.279  -91.5486  -4.34156 -0.704207  -7.00967   5.84327 -0.933405   10.8369   5.29754   8.15899  -1.45357  -2.60837
IG083-P1	  11.0358  -3.46754   7.61498  -7.48138  -64.3402  -3.52389  -2.69793   4.69208  -7.59662  -6.11488  -2.15131  -3.12108  0.343925  0.668952  -0.13235 -0.872024   4.39084   1.12209 -0.220253  0.842432
IG086-P1	  -10.231  -15.5706   -18.462   1.76633  -38.7491  -16.6956  -5.13822   10.5971   -17.682  -82.1866  -6.03815  -3.33422  -7.37064   3.30327  0.871913   1.60438  -7.30829  -1.32495 -0.705361   1.26215
IG087-P1	 -1.66091  -12.4033   4.42758  -10.3183  -90.2089  -7.08586  -4.67248   9.31717  -14.1956  -32.5159  -1.25016  -1.87327   1.59227    2.2148  -1.60852   2.08897   3.53562  0.315587 -0.206462   3.72008
IG088-4	-75.9997   12.891 -144.431  90.2955  103.458 -10.9087 0.456376   5.5621 -7.53554 -105.532 -7.68602  4.24737 -3.68691  3.73126  1.34055 -7.42942 -10.5776 -9.26933 -1.84476  2.40941
IG088-P1	-0.253707  -3.57756   2.87944  -5.42548  -84.9062  -5.47655  -3.79016   5.32743    -9.674  -10.9492  -1.62568  -3.53175   3.88297   2.54952 -0.805404 -0.722215 -0.339727 -0.826701 -0.321533  0.976711
IG089-P1	  2.96468  -7.45312   7.69001  -10.1683  -82.0513  -3.78896  -4.17787   5.41524  -8.09773  -5.62777 -0.498385  0.105095   1.75144   1.50067  -1.04027  0.971843   2.18777     1.502 0.0451173   1.96117
IG090-P1	  4.68141   -1.2206    2.4403  -6.70042  -82.0078  -3.93444   -3.5263   5.21871  -8.43804  -9.17344  -0.61654   -3.4184   2.30702   2.20236 -0.239724   0.58777   0.57135 -0.253936  -2.23339   1.22014
IG091-P1	  -0.191451    -2.84017     2.56886    -4.47255    -48.2609   -0.445938    -2.13648      1.8272    -4.34738     2.62779   -0.225149    -2.59797     1.86128     1.56253   -0.887648      1.0464      1.1052   -0.765969 -0.00525706    0.650643
IG092-P1	 -1.16952  -2.22826   2.80659   -5.8269  -69.3679  -3.28373  -2.98423   2.18412  -8.71963    0.9133  -1.50118  -7.16175  -4.81557  0.315648 -0.653531  -1.54202    2.0718   1.69211 -0.621979   1.36212
IG093-P1	-0.316413  -3.91019   4.67975  -6.27072  -52.4436  -2.11091  -2.99588   1.11547    -5.049 -0.365101 -0.969626   -6.4512  0.840351   1.75438   -1.3886  0.507178   2.22943  -1.58237  0.516654  0.907294
IG094-P1	 0.817328  -5.55597   7.76147  -9.30483  -75.1587  -3.65786  -2.44554   2.98114  -8.57192  -3.88339  -1.21588  -2.44396   1.67267   1.92215 -0.333471  -1.13194  0.964517   3.13005  -2.13121   1.75258
IG095-P1	-64.4278 -17.3114 -97.1192  59.0405  110.011  6.77925 -1.75724  12.5639 -6.37984 -112.873 0.338656 -2.10069 -4.37546 -11.0318 -3.16619  8.73211 -2.46087   7.3061  5.89421 -9.56322
